UUID;Variety Denomination;Variety Denomination Synonym(s) ;UPOV Species Code;Variety Status;EU Variety Status;Variety ID;GMO;Hybrid;Organic;Pollinator;Registration Date;Maintainer N°
201124;Frank;Frank;AGROS_CAP;Registered;Yes;;N;;;;14/05/2010;1324
201130;Greentime;Greentime;AGROS_CAP;Surrendered;Yes;;N;;;;27/04/2009;304
201103;Alister;;AGROS_CAP;Terminated;No;Catalogue Deletion;N;;;;16/07/2003;
201010;Gosta;Gosta;AGROS_GIG;Surrendered;Yes;;N;;;;;
201013;Kita;Kita;AGROS_GIG;Surrendered;No;;N;;;;;611
201023;Zigma;Zigma;AGROS_GIG;Surrendered;Yes;;N;;;;;611
201042;Crystal Blue Links;Crystal Blue Links;AGROS_STO;Registered;Yes;Modification;N;;;;16/04/2023;777
201059;Mackenzie;Mackenzie;AGROS_STO;Expired;No;Catalogue Deletion;N;;;;19/07/2012;
201062;Memorial;Memorial;AGROS_STO;Expired;No;Catalogue Deletion;N;;;;19/07/2012;
201025;13M;13M;AGROS_STO;Expired;No;Catalogue Deletion;N;;;;19/07/2012;
201024;007DSB;007DSB;AGROS_STO;Registered;Yes;Catalogue Modification;N;;;;14/08/2012;
201060;Mariner;Mariner;AGROS_STO;Expired;No;Catalogue Deletion;N;;;;19/07/2012;
201081;Pure Distinction;Pure Distinction;AGROS_STO;Registered;Yes;Modification;N;;;;01/04/2014;777
201033;Bengal;Bengal;AGROS_STO;Surrendered;Yes;;N;;;;22/03/2007;1226
201034;Brighton;Brighton;AGROS_STO;Surrendered;Yes;;N;;;;31/03/2005;467
201043;Declaration;Declaration;AGROS_STO;Surrendered;Yes;;N;;;;22/03/2007;1234
201049;Independence I;Independence I;AGROS_STO;Surrendered;No;;N;;;;22/03/2007;1234
201053;Kingpin;Kingpin;AGROS_STO;Surrendered;Yes;;N;;;;07/04/2008;326
201055;L 93;L 93;AGROS_STO;Surrendered;Yes;;N;;;;23/10/2018;2011
201057;LS44;LS44;AGROS_STO;Surrendered;Yes;;N;;;;23/01/2009;277
201058;Luminary;Luminary;AGROS_STO;Registered;Yes;;N;;;;29/03/2018;1413
201065;PC2;PC2;AGROS_STO;Registered;Yes;;N;;;;05/04/2020;777
201067;Penn A-4;Penn A-4;AGROS_STO;Surrendered;Yes;;N;;;;31/03/2000;2012
