SPECIE;CV;DATA;GG
ACTINIDIA;Ananasnaya;20;10-ott
ACTINIDIA;Boerica;0;31-ott
ACTINIDIA;Dorì;-15;11-set
ACTINIDIA;Enza Red;-10;16-set
ACTINIDIA;Green Angel;-5;26-ott
ACTINIDIA;Green Light;-35;26-set
ACTINIDIA;Hayward;0;31-ott
ACTINIDIA;Hayward Chico;-4;27-ott
ACTINIDIA;Hayward clone 8;-5;26-ott
ACTINIDIA;HFR18;12;08-ott
ACTINIDIA;Issai;20;10-ott
ACTINIDIA;Jingold;24;20-ott
ACTINIDIA;Jingold;30;26-ott
ACTINIDIA;Jumbo;15;05-ott
ACTINIDIA;Matua;-30;01-ott
ACTINIDIA;Meris;-7;24-ott
ACTINIDIA;Missionario Chiandetti;0;20-set
ACTINIDIA;Soreli;4;30-set
ACTINIDIA;Summerkiwi;-60;01-set
ACTINIDIA;Tsechelidis;-5;26-ott
ACTINIDIA;Tuscia;5;05-nov
ACTINIDIA;Weiki;20;10-ott
ACTINIDIA;Z5Z6;0;31-ott
ACTINIDIA;Zespri Gold;30;26-ott
ACTINIDIA;Zespri SunGold;0;26-set
ALBICOCCO;Agostino;38;04-ago
ALBICOCCO;Albinova;23;20-lug
ALBICOCCO;Alissa;11;08-lug
ALBICOCCO;Alize;-50;08-mag
ALBICOCCO;Anegat;13;10-lug
ALBICOCCO;Antonio Errani;-12;15-giu
ALBICOCCO;Ariel;-8;19-giu
ALBICOCCO;Aristo;20;17-lug
ALBICOCCO;Aurora;-42;16-mag
ALBICOCCO;Avirine;7;04-lug
ALBICOCCO;Azuma;5;02-lug
ALBICOCCO;Banzai;-30;28-mag
ALBICOCCO;Bella d'Imola;-6;21-giu
ALBICOCCO;Bergecot;38;04-ago
ALBICOCCO;Bergeron;15;12-lug
ALBICOCCO;Bergeval;-22;05-giu
ALBICOCCO;Big Red;-10;17-giu
ALBICOCCO;Boccuccia Liscia;15;12-lug
ALBICOCCO;Boccuccia Spinosa;16;13-lug
ALBICOCCO;Bolero;13;10-lug
ALBICOCCO;Bora;-17;10-giu
ALBICOCCO;Boreale;-5;22-giu
ALBICOCCO;Boucheran;38;04-ago
ALBICOCCO;Cafona;0;27-giu
ALBICOCCO;Calima;51;17-ago
ALBICOCCO;Candide;-5;22-giu
